ID,EDUC,PAEDUC,MAEDUC,SPEDUC
1511,0,8,8,11
1512,17,2,,
1513,16,10,9,18
1517,12,12,12,12
1518,15,,,
1520,13,4,6,
1521,14,,14,
1525,17,16,15,
1526,12,12,12,12
1527,12,,6,9
1528,20,20,12,
1529,12,8,11,12
1533,14,8,8,16
1534,12,12,12,20
1535,12,8,12,12
1537,16,16,12,16
1538,16,12,12,12
1539,16,16,12,
1543,16,16,12,16
1544,13,5,12,
1545,18,16,16,16
1546,12,,12,15
1548,13,10,12,16
1551,16,8,9,12
1552,13,14,12,
1553,18,,12,
1556,12,12,14,
1557,14,14,12,16
1559,16,18,18,
1560,16,12,14,
1561,16,14,,14
1564,16,12,12,14
1567,12,13,14,14
1570,15,12,11,
1573,15,12,12,15
1574,14,8,6,12
1576,13,14,,13
1581,13,10,12,
1582,15,15,14,15
1584,20,18,18,
1586,16,12,12,20
1590,14,16,8,12
1591,14,12,12,
1592,13,12,12,
1593,13,,16,
1595,12,8,8,
1597,14,17,12,
1598,16,12,12,
1600,12,3,12,14
1603,20,18,16,16
1604,13,,13,
1608,14,,13,
1609,12,,14,
1612,17,17,16,17
1613,16,16,16,
1614,12,6,12,
1618,7,,,
1621,16,8,6,17
1623,18,12,12,
1625,14,14,13,
1626,13,,13,
1628,6,6,6,
1629,14,11,6,
1631,18,18,,18
1632,17,,12,
1633,15,,14,
1634,9,,12,14
1635,12,,,
1644,7,,,7
1645,13,11,,
1646,13,10,13,
1648,12,,12,
1649,14,8,8,12
1650,16,9,12,
1651,16,9,9,11
1654,12,,8,14
1656,16,,15,
1657,11,16,12,
1658,12,,,12
1659,11,18,16,
1660,19,18,16,16
1662,17,16,12,16
1665,16,16,12,16
1667,15,16,15,
1669,15,,12,
1673,14,,12,
1675,12,9,12,12
1678,12,,12,
1680,16,12,12,
1681,14,8,10,12
1683,12,8,12,12
1687,16,12,15,17
1688,14,8,12,
1689,9,,,
1691,10,4,4,
1693,16,12,12,
1696,10,,12,
1698,12,12,12,
1699,15,10,12,
1700,10,9,,
1701,19,14,13,
1702,13,8,2,12
1703,12,,12,
1705,13,,,
1707,14,8,8,16
1708,15,12,11,
1711,17,20,12,
1712,12,,,15
1713,16,,14,12
1714,12,12,12,14
1718,14,12,12,12
1720,13,12,12,12
1721,12,,,12
1722,16,12,12,
1726,12,,12,
1728,15,14,12,
1729,12,12,12,
1730,10,,,12
1731,12,,5,17
1733,12,12,12,
1734,10,,,
1738,14,12,14,14
1739,11,,12,15
1740,12,12,12,
1743,11,,14,
1746,12,7,12,
1751,13,11,13,
1752,20,6,9,
1755,12,8,12,
1756,8,,,
1761,11,11,10,12
1762,12,3,14,14
1763,12,12,10,
1766,11,,12,
1770,15,16,14,
1772,15,,18,
1773,15,16,16,
1778,15,10,8,13
1779,12,2,1,12
1780,14,16,16,16
1781,13,16,14,14
1785,12,12,12,12
1788,18,16,16,16
1790,18,14,12,12
1791,12,8,8,
1793,16,16,16,16
1797,12,,8,
1799,12,12,,
1802,12,,,
1805,12,10,10,16
1806,14,12,12,12
1807,12,9,,12
1808,14,12,12,
1809,12,12,10,16
1812,12,12,12,
1814,3,,,
1815,14,,18,12
1816,20,8,6,
1818,12,,12,
1820,12,,10,11
1822,12,,,
1824,12,,12,
1827,12,6,,
1829,16,19,17,14
1832,14,8,15,14
1836,20,20,18,
1840,17,,15,
1842,16,18,12,
1844,17,16,12,16
1846,12,12,,
1848,16,14,12,12
1850,12,12,12,17
1853,16,18,12,
1857,12,8,8,12
1858,14,,12,
1859,16,,10,
1860,8,,,12
1865,12,,9,12
1867,14,8,8,
1870,8,,11,
1871,4,,,
1873,9,12,14,14
1875,14,,16,12
1876,11,,4,
1879,9,,11,
1880,10,12,10,
1882,12,16,12,
1887,8,,,
1889,10,9,8,
1892,19,18,18,12
1894,12,8,12,12
1895,11,9,,
1896,17,17,16,
1898,16,16,8,
1899,16,16,14,
1900,8,0,0,
1902,16,,12,
1903,5,,,
1907,15,12,12,12
1908,12,8,6,6
1909,8,8,8,8
1911,15,14,12,14
1912,16,14,13,16
1913,16,16,16,16
1914,6,6,6,6
1915,9,6,6,9
1916,10,3,2,
1919,9,,,
1921,14,14,12,
1922,16,12,12,
1923,14,8,11,
1926,17,12,14,
1927,14,,,
1931,16,12,12,14
1932,16,,,
1933,12,16,8,16
1936,16,20,16,16
1937,14,16,14,
1938,14,18,,
1940,14,,6,
1941,14,12,13,
1943,12,,12,
1945,16,16,16,
1948,13,12,12,
1950,18,16,17,
1951,17,16,16,
1952,12,16,12,
1954,13,12,11,
1955,14,16,11,
1957,10,,14,
1959,15,12,16,
1960,16,16,18,
1961,14,16,14,
1964,13,,14,
1966,14,12,12,
1968,14,16,16,
1974,12,4,8,
1975,11,12,14,
1976,12,,12,
1977,18,17,16,
1980,17,20,14,
1981,13,,,
1986,15,7,,12
1990,13,12,,15
1991,13,18,12,12
1992,12,,9,
1993,12,,,
1995,13,,,16
1997,12,8,8,
1998,16,16,12,
2000,17,12,12,
2003,18,16,17,20
2005,16,,2,13
2007,13,12,12,14
2009,14,9,10,14
2012,12,6,10,16
2014,14,,12,16
2017,14,10,12,
2021,14,12,12,13
2024,14,8,6,12
2026,13,12,16,13
2028,18,,,16
2029,14,12,12,16
2032,10,11,11,10
2035,12,16,12,11
2038,9,10,12,
2040,11,,,12
2041,12,8,12,12
2043,15,6,10,
2044,9,7,16,
2046,13,16,16,14
2050,12,12,14,
2051,16,12,12,19
2052,12,,,12
2054,15,,,16
2057,12,12,,16
2059,16,16,15,16
2060,12,,12,
2064,15,,,14
2066,14,12,12,
2068,16,20,14,16
2069,11,12,12,
2070,12,4,8,
2071,12,12,14,11
2072,12,,12,10
2073,14,12,12,
2076,16,12,,
2077,12,,,
2080,3,0,0,
2081,16,12,12,
2082,20,12,12,
2083,16,,12,
2085,16,12,12,
2087,20,20,20,
2089,16,16,16,
2094,14,12,,14
2095,15,16,16,
2096,11,,,12
2097,16,8,8,
2098,16,16,12,14
2100,12,,16,
2105,16,16,15,16
2106,13,12,16,12
2107,11,12,12,12
2109,15,12,12,
2111,16,8,14,15
2114,12,12,12,11
2115,15,15,16,
2116,16,,,14
2121,18,,12,17
2123,12,7,8,
2125,12,12,,
2126,18,16,16,
2127,13,16,12,
2131,16,7,11,
2132,14,,12,
2134,14,20,12,
2135,16,12,12,14
2136,16,16,16,
2137,20,8,8,
2139,18,,,16
2140,16,20,20,
2141,16,14,14,
2143,14,3,12,
2148,16,16,12,16
2153,12,4,0,14
2155,14,,,
2156,14,,14,
2157,10,6,4,12
2159,7,,,
2161,15,5,11,
2162,15,12,12,14
2165,18,12,12,14
2167,11,0,,
2168,12,4,12,11
2174,11,16,,
2175,15,12,5,
2176,16,,12,
2177,10,,,12
2181,12,,6,
2184,17,13,12,
2186,14,12,12,
2187,18,,14,20
2190,16,14,14,16
2191,14,0,,5
2193,9,,12,
2195,13,12,12,12
2197,16,,14,
2198,11,5,9,12
2202,17,14,13,
2204,12,,,
2205,18,9,10,17
2209,12,8,14,11
2214,16,14,14,
2217,11,8,12,12
2218,20,14,16,
2219,13,12,12,
2223,14,3,12,
2226,12,,12,
2227,12,12,12,14
2228,10,,12,
2233,10,6,10,
2235,12,12,16,
2237,12,12,14,14
2239,12,,12,12
2240,9,0,,8
2242,15,,11,
2243,7,,9,11
2244,16,16,13,16
2245,,,8,
2251,14,5,12,
2252,15,16,12,
2255,12,,5,
2257,12,10,10,13
2260,13,12,5,16
2263,12,9,8,12
2264,12,7,12,
2266,13,9,10,9
2267,16,7,9,16
2269,11,,7,12
2274,20,14,12,
2277,12,12,12,
2279,10,8,6,
2280,12,,,
2281,12,12,12,12
2283,9,3,,
2285,18,13,12,
2287,16,,,12
2290,17,17,16,16
2291,10,11,11,12
2293,14,,13,
2294,14,12,12,13
2297,13,8,12,
2303,12,9,,14
2305,12,12,10,
2307,2,8,8,
2308,12,8,12,
2309,11,,8,7
2311,14,8,,
2313,10,,12,
2315,8,12,8,12
2316,16,12,16,13
2322,16,,15,
2326,13,12,16,
2327,18,16,16,20
2332,12,12,14,
2335,12,12,12,14
2336,13,12,13,
2337,13,18,17,
2338,12,,12,
2341,16,10,12,
2342,15,14,16,
2344,16,17,18,
2345,12,12,10,
2347,14,8,6,
2349,8,,3,12
2350,12,8,8,4
2351,12,0,0,16
2353,18,8,8,18
2355,6,,,8
2356,10,8,8,
2359,15,12,18,13
2360,8,4,4,
2361,8,3,6,6
2362,12,4,10,
2363,8,5,14,
2366,12,5,6,
2367,10,3,,
2368,7,,,5
2370,15,11,17,14
2371,13,,10,
2374,8,,11,
2377,15,8,12,
2378,14,,,15
2379,2,0,3,
2380,12,14,12,
2381,13,12,4,
2382,14,,6,13
2387,12,,12,
2389,9,,9,
2390,15,,,12
2392,20,16,15,
2393,12,16,16,12
2398,11,12,10,10
2399,10,,,12
2400,12,16,19,
2403,17,16,18,12
2405,12,6,5,10
2407,11,,,12
2409,14,13,14,20
2412,12,14,12,12
2414,12,12,12,12
2416,12,14,12,15
2417,20,8,8,16
2420,14,20,16,13
2422,10,,,
2424,7,8,8,12
2426,14,12,9,12
2427,8,6,,12
2429,18,12,12,
2430,13,18,,18
2431,14,12,14,14
2434,12,,12,
2437,12,3,10,11
2438,12,12,14,13
2439,9,7,12,9
2441,13,12,12,12
2444,12,,,12
2447,12,7,12,12
2448,10,12,12,
2450,15,8,15,
2451,13,8,17,12
2454,10,8,9,12
2456,9,,,
2457,12,12,8,14
2458,14,13,12,15
2459,10,,,
2463,16,,12,13
2464,8,6,12,12
2467,13,12,8,14
2469,12,12,12,
2474,15,17,16,12
2476,12,14,12,12
2479,12,11,9,12
2480,12,,12,
2484,16,16,16,
2488,16,8,8,12
2489,13,8,12,12
2490,14,10,14,
2494,19,12,14,
2496,13,8,8,
2498,16,16,13,
2500,10,6,6,
2502,10,,12,12
2503,12,12,12,
2504,12,12,,
2506,12,8,,
2509,12,10,10,12
2511,12,14,12,12
2515,12,12,11,14
2516,12,8,15,12
2517,14,12,12,18
2520,12,3,10,
2523,12,4,9,
2525,16,11,11,
2527,12,,12,
2531,14,,7,
2534,16,12,16,12
2536,14,,14,
2537,12,5,8,12
2539,10,,,
2540,14,10,8,9
2541,12,2,8,11
2543,11,12,12,
2548,12,3,7,11
2549,12,11,5,
2551,16,14,14,10
2554,16,12,12,16
2555,16,18,14,
2556,8,12,11,11
2560,12,,,
2561,13,12,14,12
2562,18,13,,16
2563,9,,12,12
2564,12,,12,10
2570,16,16,14,13
2571,12,12,12,12
2574,12,,12,12
2576,12,11,13,
2577,12,,12,12
2579,13,,12,12
2581,17,12,16,14
2586,12,6,,9
2587,8,5,5,
2588,12,14,12,
2590,14,16,18,
2593,8,8,8,
2595,13,16,13,
2596,14,13,12,
2598,12,8,8,
2601,13,,14,13
2602,16,16,12,16
2603,13,14,14,14
2604,12,12,11,12
2605,12,,12,12
2606,13,12,10,12
2607,14,12,,
2608,16,,,15
2609,13,,12,
2612,12,10,12,
2619,12,4,16,13
2620,12,,,12
2624,13,16,12,12
2625,12,6,8,13
2628,10,5,,12
2630,14,12,16,
2631,11,8,7,12
2632,9,,,
2634,12,12,,
2636,14,8,16,
2638,12,14,10,
2642,16,18,16,14
2643,14,16,12,12
2644,12,13,12,13
2646,12,,12,
2649,12,12,16,10
2650,15,,11,
2652,16,19,12,15
2653,17,17,12,17
2656,12,12,12,10
2657,18,13,13,
2658,19,13,19,19
2662,16,17,12,16
2664,18,,17,
2668,16,20,20,
2669,16,20,12,19
2670,14,12,14,
2671,13,12,12,14
2674,8,8,9,10
2677,8,6,,11
2679,12,14,12,
2680,13,,12,12
2681,10,,,8
2682,12,7,8,12
2683,9,12,8,10
2684,12,,,
2687,19,,10,
2690,10,,,
2691,12,12,12,
2693,12,,12,12
2695,4,,0,
2696,13,14,15,
2697,13,,13,
2701,12,3,11,12
2702,14,,12,
2703,12,10,,10
2705,10,,,
2710,12,,10,
2711,4,2,4,
2713,14,,,
2716,10,8,8,5
2718,3,3,10,
2720,15,14,12,
2726,10,0,8,
2727,12,8,9,13
2729,18,14,11,14
2730,14,11,13,12
2731,14,14,12,11
2733,14,16,14,12
2736,11,12,14,
2740,15,12,12,14
2741,12,12,12,
2742,16,,,
2743,14,13,14,14
2745,15,12,8,15
2746,13,,,16
2747,14,,10,10
2751,12,0,12,
2754,10,8,9,11
2755,12,8,8,12
2757,7,1,0,
2758,13,10,13,
2762,11,11,5,11
2767,12,12,12,10
2770,12,11,,14
2771,19,,16,
2773,15,18,16,
2774,7,,,
2778,12,,,11
2780,10,,10,6
2784,12,12,10,
2785,15,16,13,14
2788,12,14,13,
2789,12,3,,
2790,12,9,9,12
2792,12,,,8
2794,15,20,16,
2796,12,12,9,
2800,12,,10,
2801,12,,8,
2803,13,12,12,
2805,12,12,12,12
2806,12,,,
2807,12,11,4,12
2808,10,6,4,8
2809,12,12,12,
2810,13,,10,
2812,13,,15,12
2814,13,16,12,13
2816,18,8,17,12
2820,14,8,9,12
2823,14,8,8,13
2824,12,12,11,12
